commit	event	strategy_name	sharpe	max_dd	note
ba0dd4a	create	MTFTrendStack	0.7359	-13.8459	1d EMA200 + 4h EMA9>21 + 1h pullback event. Aggregate +0.74 already beats v0.2.0 TrendEMAStack ceiling (0.36) — MTF regime+trend stack lifts it ~2x. PER-PAIR is striking: SOL=+0.42 (+38% profit), BTC=-0.17 (-6%). v0.2.0 was BTC/ETH-only and saw trend cap; opening universe shows trend works on SOL/AVAX, not BTC. 833 trades = healthy sample. Don't touch yet — let it sit a round and study the per-pair pattern.
ba0dd4a	create	BTCLeaderBreak	0.7116	-18.8310	Cross-pair: BTC 4h Donchian-20 break + local SMA50 guard. Aggregate +0.71 / +56% but DD -19% is largest. Per-pair: SOL=+0.28, BTC=+0.24, ETH+AVAX flat, BNB=-0.05. BTC-leadership doesn't transfer to BNB (BNB has its own dynamics — Binance ecosystem token). 751 trades = high turnover. Concerning but workable. Stable this round.
ba0dd4a	create	MeanRevBBClean	-1.1981	-38.7185	Pure 1h BB-bounce + RSI<35. Aggregate -1.20 / pf 0.76 / wr 57.6% — high WR but small winners, big losers, classic MR-in-trend catching-knives. ALL 5 pairs negative. Replicates v0.2.0 r1 raw MeanRevBB result almost exactly (-1.24 / pf 0.79 there). The 5-pair expansion does NOT rescue raw BB-bounce. Will evolve next round with 1d EMA200 regime filter (only MR in bull regime) — direct application of v0.2.0 r2 lesson.
632c43b	stable	MTFTrendStack	0.7359	-13.8459	identical to round 0 (no code change). stagnation count: 1.
632c43b	stable	BTCLeaderBreak	0.7116	-18.8310	identical to round 0 (no code change). stagnation count: 1.
632c43b	evolve	MeanRevBBClean	-0.9490	-31.8904	added 1d EMA200 bull regime gate (v0.2.0 r2 recipe). Trades 807→363 (regime cut 55%). Aggregate Sharpe -1.20→-0.95 (slight better) BUT pf 0.76→0.62 (WORSE). ETH per-pair pf collapsed to 0.31. The recipe that worked on v0.2.0's BTC/ETH 2-pair universe does NOT transfer cleanly to 5-pair: regime filter removes winners faster than losers on some pairs (esp ETH where the pullbacks-into-bull are real downtrends). Marker insight — v0.2.0's recipes don't auto-transfer; per-pair-aware tuning required. Next round: try shallow-touch entry per v0.2.0 r67 lesson (deep BB break may be wrong entry shape).
7476b91	stable	MTFTrendStack	0.7359	-13.8459	identical to round 0 (no code change). stagnation count: 2.
7476b91	stable	BTCLeaderBreak	0.7116	-18.8310	identical to round 0 (no code change). stagnation count: 2.
7476b91	evolve	MeanRevBBClean	-0.2448	-13.0004	switched to shallow-touch (low<=bb_lower & close>bb_lower) + volume>1.2*vol_ma20. Sharpe -0.95→-0.25, pf 0.62→0.88, profit -28→-7%. PER-PAIR HIT: BTC pf 1.02, SOL pf 1.08, AVAX pf 1.22, BNB pf 0.93, ETH pf 0.42. Four pairs now flat-to-positive. ETH is the only structural failure (wr 54.7% but losers crush winners). v0.2.0 r67's "shallow touches" + universal volume gate both transferred. Next: try BTC 1d EMA200 cross-pair strength gate to address ETH specifically — when BTC weak, alt mean-reversion fails because alt pumps are bull-trap-y.
0c15861	stable	MTFTrendStack	0.7359	-13.8459	identical to round 0. stagnation count: 3 → MUST evolve/fork/kill next round (Rule 2).
0c15861	stable	BTCLeaderBreak	0.7116	-18.8310	identical to round 0. stagnation count: 3 → MUST evolve/fork/kill next round (Rule 2).
0c15861	evolve	MeanRevBBClean	-0.2413	-12.6239	added BTC 1d EMA200 cross-pair macro-strength gate. ZERO meaningful change: sharpe -0.2448→-0.2413, only 6 trades dropped, ETH pf still 0.42 unchanged. v0.3.0 INSIGHT: in this 2023-25 bull period, BTC daily strength and per-pair daily strength are co-incident — adding the BTC 1d gate is redundant with each pair's own 1d EMA200 gate. To get cross-pair differentiation we'd need either (a) finer TF (4h BTC trend diverges more from 1d) or (b) a regime-mix sample. ETH's pf=0.42 is structural to entry shape on ETH, not a macro-regime issue.
d613d2e	evolve	MTFTrendStack	0.6014	-11.8260	added 4h ATR>4h ATR_MA20 expansion gate. Sharpe 0.74→0.60 (drop) BUT PF 1.19→1.32, DD -13.8→-11.8, trades 833→418 (cut half), wr 27.6→31.8. Per-pair quality milestone: BTC -0.17→+0.02 (no longer negative), all 5 pairs now ≥0 sharpe. v0.2.0 r28 ATR-helps-trend lesson TRANSFERS. Trading aggregate-Sharpe-as-headline for portfolio-quality is worth it; will keep this baseline. Stable next round.
d613d2e	evolve	BTCLeaderBreak	0.5176	-23.8811	added BTC 4h close>SMA50 trend confirmation. Trade count barely moved (751→732) yet result REGRESSED on every dim: Sharpe 0.71→0.52, DD -18.8→-23.9, profit +56→+40. Mechanism: when BTC just made a new 4h-20 high, it's almost always already above SMA50 — so the gate fires almost always, doing no filtering, but the few times it suppresses are the early-break trades that turn into the biggest winners. NEGATIVE FINDING: SMA50 trend confirmation post-Donchian-break is a tautology, don't add it. Will revert + try ATR-expansion gate next round (parallel to MTFTrendStack r4 success).
d613d2e	stable	MeanRevBBClean	-0.2413	-12.6239	identical (no code change). stagnation count: 1.
cb36bce	stable	MTFTrendStack	0.6014	-11.8260	identical (no code change). stagnation count: 1.
